Word           ,Part of Speech ,Notes              ,Related                    ,
wave           ,Noun           ,ocean              ,                           ,
we             ,Pronoun        ,                   ,us/our/ours/ourselves ,
weak           ,Noun           ,                   ,                           ,
wedding        ,Noun           ,                   ,                           ,
week           ,Noun           ,                   ,                           ,
week           ,Noun           ,                   ,                           ,
weekend        ,Noun           ,                   ,                           ,
weigh          ,Verb           ,                   ,                           ,
weight         ,Noun           ,                   ,                           ,
weight         ,Noun           ,                   ,                           ,
well           ,Noun           ,                   ,                           ,
west           ,Noun           ,                   ,                           ,
west           ,Noun           ,                   ,                           ,
western        ,Noun           ,                   ,                           ,
wet            ,Noun           ,adj.               ,                           ,
what           ,Noun           ,                   ,                           ,
when           ,Noun           ,                   ,                           ,
where          ,Noun           ,                   ,                           ,
whether        ,Adverb         ,                   ,                           ,
which          ,Noun           ,                   ,                           ,
while          ,Noun           ,                   ,                           ,
white          ,Noun           ,                   ,                           ,
white          ,Noun           ,                   ,                           ,
who            ,Noun           ,                   ,                           ,
whole          ,Noun           ,                   ,                           ,
why            ,Noun           ,                   ,                           ,
wide           ,Noun           ,                   ,                           ,
wide           ,Noun           ,                   ,                           ,
wife           ,Noun           ,                   ,                           ,
wife           ,Noun           ,                   ,                           ,
wild           ,Noun           ,                   ,                           ,
will           ,Noun           ,                   ,                           ,
win            ,Noun           ,                   ,                           ,
wind           ,Noun           ,                   ,                           ,
wind           ,Noun           ,                   ,                           ,
window         ,Noun           ,                   ,                           ,
window         ,Noun           ,                   ,                           ,
wine           ,Noun           ,                   ,                           ,
wine           ,Noun           ,                   ,                           ,
wing           ,Noun           ,                   ,                           ,
wing           ,Noun           ,                   ,                           ,
winner         ,Noun           ,                   ,                           ,
winter         ,Noun           ,                   ,                           ,
winter         ,Noun           ,                   ,                           ,
wire           ,Noun           ,                   ,                           ,
woman          ,Noun           ,                   ,                           ,
wood           ,Noun           ,                   ,                           ,
world          ,Noun           ,                   ,                           ,
yard           ,Noun           ,                   ,                           ,
year           ,Noun           ,                   ,                           ,
yellow         ,Noun           ,                   ,                           ,
yes            ,Noun           ,                   ,                           ,
you            ,Pronoun        ,singular/plural    ,your/yours/yourself    ,
young          ,Noun           ,                   ,                           ,
zero           ,Noun           ,                   ,                           ,
