es                 ,en             ,Part of Speech ,Notes              ,Related                    ,
El traje           ,suit           ,Noun           ,                   ,                           ,
el verano          ,summer         ,Noun           ,                   ,                           ,
el sol             ,sun            ,Noun           ,                   ,                           ,
el sudor           ,sweat          ,Noun           ,                   ,                           ,
la mesa            ,table          ,Noun           ,                   ,                           ,
El alto            ,tall           ,Noun           ,                   ,                           ,
el té              ,tea            ,Noun           ,                   ,                           ,
el maestro         ,teacher        ,Noun           ,                   ,                           ,
el equipo          ,team           ,Noun           ,                   ,                           ,
la lagrima         ,tear           ,Noun           ,drop               ,                           ,
La tecnología      ,technology     ,Noun           ,                   ,                           ,
el telefono_       ,telephone_     ,Noun           ,                   ,                           ,
la televisión      ,television     ,Noun           ,                   ,                           ,
la temperatura     ,temperature    ,Noun           ,                   ,                           ,
los diez           ,ten            ,Noun           ,                   ,                           ,
los diez mil       ,ten thousand   ,Noun           ,                   ,                           ,
el teatro          ,theater        ,Noun           ,                   ,                           ,
ellos              ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
el grosor          ,thick          ,Noun           ,                   ,                           ,
el delgado         ,thin           ,Noun           ,                   ,                           ,
El tercero         ,third          ,Noun           ,3rd                ,                           ,
los trece          ,thirteen       ,Noun           ,                   ,                           ,
los treinta        ,thirty         ,Noun           ,                   ,                           ,
los mil            ,thousand       ,Noun           ,                   ,                           ,
el tres            ,three          ,Noun           ,                   ,                           ,
La entrada         ,ticket         ,Noun           ,train              ,                           ,
el apretado        ,tight          ,Noun           ,                   ,                           ,
el tiempo          ,time           ,Noun           ,                   ,                           ,
el neumático       ,tire           ,Noun           ,of a car           ,                           ,
ser - estar        ,to be          ,Verb           ,                   ,                           ,
vencer             ,to beat        ,Verb           ,                   ,                           ,
empezar            ,to begin       ,Verb           ,                   ,                           ,
para doblar        ,to bend        ,Verb           ,                   ,                           ,
romper             ,to break       ,Verb           ,                   ,                           ,
hervir             ,to boil        ,Verb           ,                   ,                           ,
para construir     ,to build       ,Verb           ,                   ,                           ,
para quemar        ,to burn        ,Verb           ,                   ,                           ,
comprar            ,to buy         ,Verb           ,                   ,                           ,
llamar             ,to call        ,Verb           ,                   ,                           ,
llevar             ,to carry       ,Verb           ,                   ,                           ,
cancelar           ,to cancel      ,Verb           ,                   ,                           ,
importar           ,to care        ,Verb           ,                   ,                           ,
atrapar            ,to catch       ,Verb           ,                   ,                           ,
causar             ,to cause       ,Verb           ,                   ,                           ,
limpiar            ,to clean       ,Verb           ,                   ,                           ,
cerrar             ,to close       ,Verb           ,                   ,                           ,
venir              ,to come        ,Verb           ,                   ,                           ,
comparar           ,to compare     ,Verb           ,                   ,                           ,
competir           ,to compete     ,Verb           ,                   ,                           ,
para conectar      ,to connect     ,Verb           ,                   ,                           ,
cocinar            ,to cook        ,Verb           ,                   ,                           ,
para contar        ,to count       ,Verb           ,                   ,                           ,
llorar             ,to cry         ,Verb           ,                   ,                           ,
cortar             ,to cut         ,Verb           ,                   ,                           ,
bailar             ,to dance       ,Verb           ,                   ,                           ,
para merecer       ,to deserve     ,Verb           ,                   ,                           ,
morir              ,to die         ,Verb           ,                   ,                           ,
cavar              ,to dig         ,Verb           ,                   ,                           ,
que hacer          ,to do          ,Verb           ,                   ,                           ,
a abajo            ,to down        ,Verb           ,                   ,                           ,
dibujar            ,to draw        ,Verb           ,                   ,                           ,
vestir             ,to dress       ,Verb           ,                   ,                           ,
beber              ,to drink       ,Verb           ,                   ,                           ,
conducir           ,to drive       ,Verb           ,                   ,                           ,
comer              ,to eat         ,Verb           ,                   ,                           ,
disfrutar          ,to enjoy       ,Verb           ,                   ,                           ,
explotar           ,to explode     ,Verb           ,                   ,                           ,
caer               ,to fall        ,Verb           ,                   ,                           ,
alimentar          ,to feed        ,Verb           ,                   ,                           ,
luchar             ,to fight       ,Verb           ,                   ,                           ,
encontrar          ,to find        ,Verb           ,                   ,                           ,
para terminar      ,to finish      ,Verb           ,                   ,                           ,
arreglar           ,to fix         ,Verb           ,                   ,                           ,
para volar         ,to fly         ,Verb           ,                   ,                           ,
seguir             ,to follow      ,Verb           ,                   ,                           ,
dar                ,to give        ,Verb           ,                   ,                           ,
para llevar        ,to go          ,Verb           ,                   ,                           ,
crecer             ,to grow        ,Verb           ,                   ,                           ,
colgar             ,to hang        ,Verb           ,                   ,                           ,
tener              ,to have        ,Verb           ,                   ,                           ,
ayudar             ,to help        ,Verb           ,                   ,                           ,
sostener           ,to hold        ,Verb           ,                   ,                           ,
saltar             ,to jump        ,Verb           ,                   ,                           ,
mantener           ,to keep        ,Verb           ,                   ,                           ,
matar              ,to kill        ,Verb           ,                   ,                           ,
besar              ,to kiss        ,Verb           ,                   ,                           ,
reír               ,to laugh       ,Verb           ,                   ,                           ,
aprender           ,to learn       ,Verb           ,                   ,                           ,
levantar           ,to lift        ,Verb           ,                   ,                           ,
escuchar           ,to listen      ,Verb           ,to music           ,                           ,
perder             ,to lose        ,Verb           ,                   ,                           ,
amar               ,to love        ,Verb           ,                   ,                           ,
casarse            ,to marry       ,Verb           ,                   ,                           ,
reunirse           ,to meet        ,Verb           ,                   ,                           ,
para fundir        ,to melt        ,Verb           ,                   ,                           ,
mencionar          ,to mention     ,Verb           ,                   ,                           ,
mezclar/revolver   ,to mix/stir    ,Verb           ,                   ,                           ,
abrir              ,to open        ,Verb           ,                   ,                           ,
pasar              ,to pass        ,Verb           ,                   ,                           ,
pagar              ,to pay         ,Verb           ,                   ,                           ,
jugar              ,to play        ,Verb           ,                   ,                           ,
a orar             ,to pray        ,Verb           ,                   ,                           ,
tirar              ,to pull        ,Verb           ,                   ,                           ,
para empujar       ,to push        ,Verb           ,                   ,                           ,
poner              ,to put         ,Verb           ,                   ,                           ,
al respecto        ,to respect     ,Verb           ,                   ,                           ,
correr             ,to run         ,Verb           ,                   ,                           ,
para ver           ,to see         ,Verb           ,a bird             ,                           ,
vender             ,to sell        ,Verb           ,                   ,                           ,
agitar             ,to shake       ,Verb           ,                   ,                           ,
el disparar        ,to shoot       ,Noun           ,a gun              ,                           ,
para firmar        ,to sign        ,Verb           ,                   ,                           ,
cantar             ,to sing        ,Verb           ,                   ,                           ,
sentarse           ,to sit         ,Verb           ,                   ,                           ,
dormir             ,to sleep       ,Verb           ,                   ,                           ,
oler               ,to smell       ,Verb           ,                   ,                           ,
sonreír            ,to smile       ,Verb           ,                   ,                           ,
hablar/decir       ,to speak/say   ,Verb           ,                   ,                           ,
gastar             ,to spend       ,Verb           ,                   ,                           ,
estar de pie       ,to stand       ,Verb           ,                   ,                           ,
quedarse           ,to stay        ,Verb           ,                   ,                           ,
para detener       ,to stop        ,Verb           ,                   ,                           ,
sorprender         ,to surprise    ,Verb           ,                   ,                           ,
nadar              ,to swim        ,Verb           ,                   ,                           ,
tomar              ,to take        ,Verb           ,                   ,                           ,
probar             ,to taste       ,Verb           ,                   ,                           ,
enseñar            ,to teach       ,Verb           ,                   ,                           ,
pensar             ,to think       ,Verb           ,                   ,                           ,
tirar              ,to throw       ,Verb           ,                   ,                           ,
tocar              ,to touch       ,Verb           ,                   ,                           ,
girar              ,to turn        ,Verb           ,                   ,                           ,
Para arriba        ,to up          ,Verb           ,                   ,                           ,
caminar            ,to walk        ,Verb           ,                   ,                           ,
para lavar         ,to wash        ,Verb           ,                   ,                           ,
ver                ,to watch       ,Verb           ,(TV)               ,                           ,
usar               ,to wear        ,Verb           ,                   ,                           ,
usar               ,to wear        ,Verb           ,                   ,                           ,
ganar              ,to win         ,Verb           ,                   ,                           ,
trabajar           ,to work        ,Verb           ,                   ,                           ,
escribir           ,to write       ,Verb           ,                   ,                           ,
el dedo del pié    ,toe            ,Noun           ,                   ,                           ,
la lengua          ,tongue         ,Noun           ,                   ,                           ,
la herramienta     ,tool           ,Noun           ,                   ,                           ,
el diente          ,tooth          ,Noun           ,                   ,                           ,
la parte superior  ,top            ,Noun           ,                   ,                           ,
la ciudad          ,town           ,Noun           ,                   ,                           ,
el tren            ,train          ,Noun           ,                   ,                           ,
el transporte      ,transportation ,Noun           ,                   ,                           ,
el árbol           ,tree           ,Noun           ,                   ,                           ,
el camión          ,truck          ,Noun           ,                   ,                           ,
El doce            ,twelve         ,Noun           ,                   ,                           ,
los veinte         ,twenty         ,Noun           ,                   ,                           ,
el veintiuno       ,twenty one     ,Noun           ,                   ,                           ,
los dos            ,two            ,Noun           ,                   ,                           ,
los doscientos     ,two hundred    ,Noun           ,                   ,                           ,
el feo             ,ugly           ,Noun           ,                   ,                           ,
el tío             ,uncle          ,Noun           ,                   ,                           ,
la Universidad     ,university     ,Noun           ,                   ,                           ,
el arriba          ,up             ,Noun           ,                   ,                           ,
el valle           ,valley         ,Noun           ,                   ,                           ,
el verbo           ,verb           ,Noun           ,                   ,                           ,
la víctima         ,victim         ,Noun           ,                   ,                           ,
la voz             ,voice          ,Noun           ,                   ,                           ,
la vocal           ,vowel          ,Noun           ,                   ,                           ,
El camarero        ,waiter         ,Noun           ,                   ,                           ,
la estela          ,wake           ,Noun           ,                   ,                           ,
la pared           ,wall           ,Noun           ,                   ,                           ,
la guerra          ,war            ,Noun           ,                   ,                           ,
cálido             ,warm           ,Adjective      ,                   ,                           ,
el agua            ,water          ,Noun           ,                   ,                           ,
la ola             ,wave           ,Noun           ,ocean              ,                           ,
nosotros           ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
el débil           ,weak           ,Noun           ,                   ,                           ,
la boda            ,wedding        ,Noun           ,                   ,                           ,
la semana          ,week           ,Noun           ,                   ,                           ,
la semana          ,week           ,Noun           ,                   ,                           ,
el fin de semana   ,weekend        ,Noun           ,                   ,                           ,
pesar              ,weigh          ,Verb           ,                   ,                           ,
el peso            ,weight         ,Noun           ,                   ,                           ,
el peso            ,weight         ,Noun           ,                   ,                           ,
el pozo            ,well           ,Noun           ,                   ,                           ,
el oeste           ,west           ,Noun           ,                   ,                           ,
el oeste           ,west           ,Noun           ,                   ,                           ,
el oeste           ,western        ,Noun           ,                   ,                           ,
el mojado          ,wet            ,Noun           ,adj.               ,                           ,
el qué             ,what           ,Noun           ,                   ,                           ,
el cuando          ,when           ,Noun           ,                   ,                           ,
el donde           ,where          ,Noun           ,                   ,                           ,
ya sea             ,whether        ,Adverb         ,                   ,                           ,
el cual            ,which          ,Noun           ,                   ,                           ,
el tiempo          ,while          ,Noun           ,                   ,                           ,
el blanco          ,white          ,Noun           ,                   ,                           ,
el blanco          ,white          ,Noun           ,                   ,                           ,
La OMS             ,who            ,Noun           ,                   ,                           ,
El conjunto        ,whole          ,Noun           ,                   ,                           ,
el porque          ,why            ,Noun           ,                   ,                           ,
la amplia          ,wide           ,Noun           ,                   ,                           ,
la amplia          ,wide           ,Noun           ,                   ,                           ,
La esposa          ,wife           ,Noun           ,                   ,                           ,
La esposa          ,wife           ,Noun           ,                   ,                           ,
lo salvaje         ,wild           ,Noun           ,                   ,                           ,
la voluntad        ,will           ,Noun           ,                   ,                           ,
el ganador         ,win            ,Noun           ,                   ,                           ,
el viento          ,wind           ,Noun           ,                   ,                           ,
el viento          ,wind           ,Noun           ,                   ,                           ,
la ventana         ,window         ,Noun           ,                   ,                           ,
la ventana         ,window         ,Noun           ,                   ,                           ,
el vino            ,wine           ,Noun           ,                   ,                           ,
el vino            ,wine           ,Noun           ,                   ,                           ,
el ala             ,wing           ,Noun           ,                   ,                           ,
el ala             ,wing           ,Noun           ,                   ,                           ,
el ganador         ,winner         ,Noun           ,                   ,                           ,
el invierno        ,winter         ,Noun           ,                   ,                           ,
el invierno        ,winter         ,Noun           ,                   ,                           ,
el alambre         ,wire           ,Noun           ,                   ,                           ,
la mujer           ,woman          ,Noun           ,                   ,                           ,
la madera          ,wood           ,Noun           ,                   ,                           ,
el mundo           ,world          ,Noun           ,                   ,                           ,
el patio           ,yard           ,Noun           ,                   ,                           ,
el año             ,year           ,Noun           ,                   ,                           ,
el amarillo        ,yellow         ,Noun           ,                   ,                           ,
El sí              ,yes            ,Noun           ,                   ,                           ,
tú                 ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
el joven           ,young          ,Noun           ,                   ,                           ,
el cero            ,zero           ,Noun           ,                   ,                           ,
