fr                   ,en             ,Part of Speech ,Notes              ,Related                    ,
l'étudiant           ,student        ,Noun           ,                   ,                           ,
le sucre             ,sugar          ,Noun           ,                   ,                           ,
le costume           ,suit           ,Noun           ,                   ,                           ,
L'été                ,summer         ,Noun           ,                   ,                           ,
le soleil            ,sun            ,Noun           ,                   ,                           ,
la sueur             ,sweat          ,Noun           ,                   ,                           ,
la table             ,table          ,Noun           ,                   ,                           ,
le grand             ,tall           ,Noun           ,                   ,                           ,
le thé               ,tea            ,Noun           ,                   ,                           ,
l'enseignant         ,teacher        ,Noun           ,                   ,                           ,
l'équipe             ,team           ,Noun           ,                   ,                           ,
la larme             ,tear           ,Noun           ,drop               ,                           ,
la technologie       ,technology     ,Noun           ,                   ,                           ,
le téléphone_        ,telephone_     ,Noun           ,                   ,                           ,
la télévision        ,television     ,Noun           ,                   ,                           ,
la température       ,temperature    ,Noun           ,                   ,                           ,
les dix              ,ten            ,Noun           ,                   ,                           ,
les dix mille        ,ten thousand   ,Noun           ,                   ,                           ,
théâtre              ,theater        ,Noun           ,                   ,                           ,
elles ou ils         ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
l'épaisseur          ,thick          ,Noun           ,                   ,                           ,
la mince             ,thin           ,Noun           ,                   ,                           ,
le troisième         ,third          ,Noun           ,3rd                ,                           ,
les treize           ,thirteen       ,Noun           ,                   ,                           ,
les trente           ,thirty         ,Noun           ,                   ,                           ,
le mille             ,thousand       ,Noun           ,                   ,                           ,
les trois            ,three          ,Noun           ,                   ,                           ,
le billet            ,ticket         ,Noun           ,train              ,                           ,
le serré             ,tight          ,Noun           ,                   ,                           ,
le temps             ,time           ,Noun           ,                   ,                           ,
le pneu              ,tire           ,Noun           ,of a car           ,                           ,
être                 ,to be          ,Verb           ,                   ,                           ,
battre               ,to beat        ,Verb           ,                   ,                           ,
pour commencer       ,to begin       ,Verb           ,                   ,                           ,
plier                ,to bend        ,Verb           ,                   ,                           ,
casser               ,to break       ,Verb           ,                   ,                           ,
bouillir             ,to boil        ,Verb           ,                   ,                           ,
construire           ,to build       ,Verb           ,                   ,                           ,
brûler               ,to burn        ,Verb           ,                   ,                           ,
acheter              ,to buy         ,Verb           ,                   ,                           ,
appeler              ,to call        ,Verb           ,                   ,                           ,
porter               ,to carry       ,Verb           ,                   ,                           ,
annuler              ,to cancel      ,Verb           ,                   ,                           ,
prendre soin de      ,to care        ,Verb           ,                   ,                           ,
attraper             ,to catch       ,Verb           ,                   ,                           ,
causer               ,to cause       ,Verb           ,                   ,                           ,
nettoyer             ,to clean       ,Verb           ,                   ,                           ,
fermer               ,to close       ,Verb           ,                   ,                           ,
venir                ,to come        ,Verb           ,                   ,                           ,
comparer             ,to compare     ,Verb           ,                   ,                           ,
concourir            ,to compete     ,Verb           ,                   ,                           ,
se connecter         ,to connect     ,Verb           ,                   ,                           ,
cuisiner             ,to cook        ,Verb           ,                   ,                           ,
compter              ,to count       ,Verb           ,                   ,                           ,
pleurer              ,to cry         ,Verb           ,                   ,                           ,
couper               ,to cut         ,Verb           ,                   ,                           ,
danser               ,to dance       ,Verb           ,                   ,                           ,
mériter              ,to deserve     ,Verb           ,                   ,                           ,
mourir               ,to die         ,Verb           ,                   ,                           ,
à creuser            ,to dig         ,Verb           ,                   ,                           ,
faire                ,to do          ,Verb           ,                   ,                           ,
descendre            ,to down        ,Verb           ,                   ,                           ,
dessiner             ,to draw        ,Verb           ,                   ,                           ,
s'habiller           ,to dress       ,Verb           ,                   ,                           ,
boire                ,to drink       ,Verb           ,                   ,                           ,
conduire             ,to drive       ,Verb           ,                   ,                           ,
manger               ,to eat         ,Verb           ,                   ,                           ,
apprécier            ,to enjoy       ,Verb           ,                   ,                           ,
exploser             ,to explode     ,Verb           ,                   ,                           ,
tomber               ,to fall        ,Verb           ,                   ,                           ,
nourrir              ,to feed        ,Verb           ,                   ,                           ,
combattre            ,to fight       ,Verb           ,                   ,                           ,
trouver              ,to find        ,Verb           ,                   ,                           ,
pour finir           ,to finish      ,Verb           ,                   ,                           ,
réparer              ,to fix         ,Verb           ,                   ,                           ,
voler                ,to fly         ,Verb           ,                   ,                           ,
suivre               ,to follow      ,Verb           ,                   ,                           ,
pour donner          ,to give        ,Verb           ,                   ,                           ,
aller                ,to go          ,Verb           ,                   ,                           ,
grandir              ,to grow        ,Verb           ,                   ,                           ,
pendre               ,to hang        ,Verb           ,                   ,                           ,
avoir                ,to have        ,Verb           ,                   ,                           ,
aider                ,to help        ,Verb           ,                   ,                           ,
tenir                ,to hold        ,Verb           ,                   ,                           ,
sauter               ,to jump        ,Verb           ,                   ,                           ,
garder               ,to keep        ,Verb           ,                   ,                           ,
tuer                 ,to kill        ,Verb           ,                   ,                           ,
embrasser            ,to kiss        ,Verb           ,                   ,                           ,
rire                 ,to laugh       ,Verb           ,                   ,                           ,
apprendre            ,to learn       ,Verb           ,                   ,                           ,
soulever             ,to lift        ,Verb           ,                   ,                           ,
écouter              ,to listen      ,Verb           ,to music           ,                           ,
perdre               ,to lose        ,Verb           ,                   ,                           ,
aimer                ,to love        ,Verb           ,                   ,                           ,
se marier            ,to marry       ,Verb           ,                   ,                           ,
rencontrer           ,to meet        ,Verb           ,                   ,                           ,
fondre               ,to melt        ,Verb           ,                   ,                           ,
à mentionner         ,to mention     ,Verb           ,                   ,                           ,
mélanger/remuer      ,to mix/stir    ,Verb           ,                   ,                           ,
ouvrir               ,to open        ,Verb           ,                   ,                           ,
passer               ,to pass        ,Verb           ,                   ,                           ,
payer                ,to pay         ,Verb           ,                   ,                           ,
jouer                ,to play        ,Verb           ,                   ,                           ,
prier                ,to pray        ,Verb           ,                   ,                           ,
tirer                ,to pull        ,Verb           ,                   ,                           ,
pousser              ,to push        ,Verb           ,                   ,                           ,
mettre               ,to put         ,Verb           ,                   ,                           ,
respecter            ,to respect     ,Verb           ,                   ,                           ,
courir               ,to run         ,Verb           ,                   ,                           ,
à voir               ,to see         ,Verb           ,a bird             ,                           ,
vendre               ,to sell        ,Verb           ,                   ,                           ,
secouer              ,to shake       ,Verb           ,                   ,                           ,
le pour tirer        ,to shoot       ,Noun           ,a gun              ,                           ,
signer               ,to sign        ,Verb           ,                   ,                           ,
chanter              ,to sing        ,Verb           ,                   ,                           ,
s'asseoir            ,to sit         ,Verb           ,                   ,                           ,
dormir               ,to sleep       ,Verb           ,                   ,                           ,
sentir               ,to smell       ,Verb           ,                   ,                           ,
sourir               ,to smile       ,Verb           ,                   ,                           ,
parler/dire          ,to speak/say   ,Verb           ,                   ,                           ,
dépenser             ,to spend       ,Verb           ,                   ,                           ,
se tenir debout      ,to stand       ,Verb           ,                   ,                           ,
rester               ,to stay        ,Verb           ,                   ,                           ,
arrêter              ,to stop        ,Verb           ,                   ,                           ,
de surprendre        ,to surprise    ,Verb           ,                   ,                           ,
nager                ,to swim        ,Verb           ,                   ,                           ,
prendre              ,to take        ,Verb           ,                   ,                           ,
goûter               ,to taste       ,Verb           ,                   ,                           ,
enseigner            ,to teach       ,Verb           ,                   ,                           ,
penser               ,to think       ,Verb           ,                   ,                           ,
lancer               ,to throw       ,Verb           ,                   ,                           ,
toucher              ,to touch       ,Verb           ,                   ,                           ,
tourner              ,to turn        ,Verb           ,                   ,                           ,
jusqu'à              ,to up          ,Verb           ,                   ,                           ,
marcher              ,to walk        ,Verb           ,                   ,                           ,
laver                ,to wash        ,Verb           ,                   ,                           ,
regarder             ,to watch       ,Verb           ,(TV)               ,                           ,
porter               ,to wear        ,Verb           ,                   ,                           ,
porter               ,to wear        ,Verb           ,                   ,                           ,
gagner               ,to win         ,Verb           ,                   ,                           ,
travailler           ,to work        ,Verb           ,                   ,                           ,
pour écrire          ,to write       ,Verb           ,                   ,                           ,
le doigt de pied     ,toe            ,Noun           ,                   ,                           ,
la langue            ,tongue         ,Noun           ,                   ,                           ,
l'outil              ,tool           ,Noun           ,                   ,                           ,
la dent              ,tooth          ,Noun           ,                   ,                           ,
haut                 ,top            ,Noun           ,                   ,                           ,
la ville             ,town           ,Noun           ,                   ,                           ,
le train             ,train          ,Noun           ,                   ,                           ,
le transport         ,transportation ,Noun           ,                   ,                           ,
l'arbre              ,tree           ,Noun           ,                   ,                           ,
le camion            ,truck          ,Noun           ,                   ,                           ,
les douze            ,twelve         ,Noun           ,                   ,                           ,
les vingt            ,twenty         ,Noun           ,                   ,                           ,
le vingt et un       ,twenty one     ,Noun           ,                   ,                           ,
les deux             ,two            ,Noun           ,                   ,                           ,
les deux cents       ,two hundred    ,Noun           ,                   ,                           ,
le moche             ,ugly           ,Noun           ,                   ,                           ,
l'oncle              ,uncle          ,Noun           ,                   ,                           ,
l'Université         ,university     ,Noun           ,                   ,                           ,
Le haut              ,up             ,Noun           ,                   ,                           ,
la vallée            ,valley         ,Noun           ,                   ,                           ,
le verbe             ,verb           ,Noun           ,                   ,                           ,
la victime           ,victim         ,Noun           ,                   ,                           ,
la voix              ,voice          ,Noun           ,                   ,                           ,
la voyelle           ,vowel          ,Noun           ,                   ,                           ,
le serveur           ,waiter         ,Noun           ,                   ,                           ,
le reveil            ,wake           ,Noun           ,                   ,                           ,
le mur               ,wall           ,Noun           ,                   ,                           ,
la guerre            ,war            ,Noun           ,                   ,                           ,
chaleureuse          ,warm           ,Adjective      ,                   ,                           ,
l'eau                ,water          ,Noun           ,                   ,                           ,
la vague             ,wave           ,Noun           ,ocean              ,                           ,
nous                 ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
le faible            ,weak           ,Noun           ,                   ,                           ,
les noces            ,wedding        ,Noun           ,                   ,                           ,
la semaine           ,week           ,Noun           ,                   ,                           ,
la semaine           ,week           ,Noun           ,                   ,                           ,
le week-end          ,weekend        ,Noun           ,                   ,                           ,
peser                ,weigh          ,Verb           ,                   ,                           ,
le poids             ,weight         ,Noun           ,                   ,                           ,
le poids             ,weight         ,Noun           ,                   ,                           ,
le puits             ,well           ,Noun           ,                   ,                           ,
l'ouest              ,west           ,Noun           ,                   ,                           ,
l'ouest              ,west           ,Noun           ,                   ,                           ,
l'ouest              ,western        ,Noun           ,                   ,                           ,
le mouillé           ,wet            ,Noun           ,adj.               ,                           ,
le quoi              ,what           ,Noun           ,                   ,                           ,
le quand             ,when           ,Noun           ,                   ,                           ,
le où                ,where          ,Noun           ,                   ,                           ,
qu'il s'agisse       ,whether        ,Adverb         ,                   ,                           ,
le qui               ,which          ,Noun           ,                   ,                           ,
le temps             ,while          ,Noun           ,                   ,                           ,
le blanc             ,white          ,Noun           ,                   ,                           ,
le blanc             ,white          ,Noun           ,                   ,                           ,
L'OMS                ,who            ,Noun           ,                   ,                           ,
la totalité          ,whole          ,Noun           ,                   ,                           ,
le pourquoi          ,why            ,Noun           ,                   ,                           ,
la large             ,wide           ,Noun           ,                   ,                           ,
la large             ,wide           ,Noun           ,                   ,                           ,
la femme             ,wife           ,Noun           ,                   ,                           ,
la femme             ,wife           ,Noun           ,                   ,                           ,
le sauvage           ,wild           ,Noun           ,                   ,                           ,
la volonté           ,will           ,Noun           ,                   ,                           ,
la victoire          ,win            ,Noun           ,                   ,                           ,
le vent              ,wind           ,Noun           ,                   ,                           ,
le vent              ,wind           ,Noun           ,                   ,                           ,
la fenêtre           ,window         ,Noun           ,                   ,                           ,
la fenêtre           ,window         ,Noun           ,                   ,                           ,
le vin               ,wine           ,Noun           ,                   ,                           ,
le vin               ,wine           ,Noun           ,                   ,                           ,
l'aile               ,wing           ,Noun           ,                   ,                           ,
l'aile               ,wing           ,Noun           ,                   ,                           ,
le gagnant           ,winner         ,Noun           ,                   ,                           ,
l'hiver              ,winter         ,Noun           ,                   ,                           ,
l'hiver              ,winter         ,Noun           ,                   ,                           ,
le fil               ,wire           ,Noun           ,                   ,                           ,
la femme             ,woman          ,Noun           ,                   ,                           ,
le bois              ,wood           ,Noun           ,                   ,                           ,
le monde             ,world          ,Noun           ,                   ,                           ,
la Cour              ,yard           ,Noun           ,                   ,                           ,
l'année              ,year           ,Noun           ,                   ,                           ,
le jaune             ,yellow         ,Noun           ,                   ,                           ,
le oui               ,yes            ,Noun           ,                   ,                           ,
tu                   ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
le jeune             ,young          ,Noun           ,                   ,                           ,
le zéro              ,zero           ,Noun           ,                   ,                           ,
