it                  ,en             ,Part of Speech ,Notes              ,Related                    ,
Il forte            ,strong         ,Noun           ,                   ,                           ,
lo studente         ,student        ,Noun           ,                   ,                           ,
lo zucchero         ,sugar          ,Noun           ,                   ,                           ,
l'abito             ,suit           ,Noun           ,                   ,                           ,
l'estate            ,summer         ,Noun           ,                   ,                           ,
il Sole             ,sun            ,Noun           ,                   ,                           ,
il sudore           ,sweat          ,Noun           ,                   ,                           ,
la tavola           ,table          ,Noun           ,                   ,                           ,
l'alto              ,tall           ,Noun           ,                   ,                           ,
il tè               ,tea            ,Noun           ,                   ,                           ,
l'insegnante        ,teacher        ,Noun           ,                   ,                           ,
Il gruppo           ,team           ,Noun           ,                   ,                           ,
la lacrima          ,tear           ,Noun           ,drop               ,                           ,
la tecnologia       ,technology     ,Noun           ,                   ,                           ,
il telefono_        ,telephone_     ,Noun           ,                   ,                           ,
la televisione      ,television     ,Noun           ,                   ,                           ,
la temperatura      ,temperature    ,Noun           ,                   ,                           ,
i dieci             ,ten            ,Noun           ,                   ,                           ,
i diecimila         ,ten thousand   ,Noun           ,                   ,                           ,
il teatro           ,theater        ,Noun           ,                   ,                           ,
essi                ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
il grosso           ,thick          ,Noun           ,                   ,                           ,
il magro            ,thin           ,Noun           ,                   ,                           ,
il terzo            ,third          ,Noun           ,3rd                ,                           ,
il tredici          ,thirteen       ,Noun           ,                   ,                           ,
i trenta            ,thirty         ,Noun           ,                   ,                           ,
i mille             ,thousand       ,Noun           ,                   ,                           ,
i tre               ,three          ,Noun           ,                   ,                           ,
il biglietto        ,ticket         ,Noun           ,train              ,                           ,
il stretto          ,tight          ,Noun           ,                   ,                           ,
il tempo            ,time           ,Noun           ,                   ,                           ,
lo pneumatico       ,tire           ,Noun           ,of a car           ,                           ,
essere              ,to be          ,Verb           ,                   ,                           ,
battere             ,to beat        ,Verb           ,                   ,                           ,
iniziare            ,to begin       ,Verb           ,                   ,                           ,
piegare             ,to bend        ,Verb           ,                   ,                           ,
rompere             ,to break       ,Verb           ,                   ,                           ,
bollire             ,to boil        ,Verb           ,                   ,                           ,
costruire           ,to build       ,Verb           ,                   ,                           ,
bruciare            ,to burn        ,Verb           ,                   ,                           ,
comprare            ,to buy         ,Verb           ,                   ,                           ,
chiamare            ,to call        ,Verb           ,                   ,                           ,
portare             ,to carry       ,Verb           ,                   ,                           ,
per cancellare      ,to cancel      ,Verb           ,                   ,                           ,
curare              ,to care        ,Verb           ,                   ,                           ,
catturare           ,to catch       ,Verb           ,                   ,                           ,
causare             ,to cause       ,Verb           ,                   ,                           ,
pulire              ,to clean       ,Verb           ,                   ,                           ,
chiudere            ,to close       ,Verb           ,                   ,                           ,
venire              ,to come        ,Verb           ,                   ,                           ,
per confrontare     ,to compare     ,Verb           ,                   ,                           ,
competere           ,to compete     ,Verb           ,                   ,                           ,
per connettere      ,to connect     ,Verb           ,                   ,                           ,
cucinare            ,to cook        ,Verb           ,                   ,                           ,
contare             ,to count       ,Verb           ,                   ,                           ,
piangere            ,to cry         ,Verb           ,                   ,                           ,
tagliare            ,to cut         ,Verb           ,                   ,                           ,
ballare             ,to dance       ,Verb           ,                   ,                           ,
meritarsi           ,to deserve     ,Verb           ,                   ,                           ,
morire              ,to die         ,Verb           ,                   ,                           ,
scavare             ,to dig         ,Verb           ,                   ,                           ,
da fare             ,to do          ,Verb           ,                   ,                           ,
verso il basso      ,to down        ,Verb           ,                   ,                           ,
disegnare           ,to draw        ,Verb           ,                   ,                           ,
vestirsi            ,to dress       ,Verb           ,                   ,                           ,
bere                ,to drink       ,Verb           ,                   ,                           ,
guidare             ,to drive       ,Verb           ,                   ,                           ,
mangiare            ,to eat         ,Verb           ,                   ,                           ,
godere              ,to enjoy       ,Verb           ,                   ,                           ,
esplodere           ,to explode     ,Verb           ,                   ,                           ,
cadere              ,to fall        ,Verb           ,                   ,                           ,
nutrire             ,to feed        ,Verb           ,                   ,                           ,
combattere          ,to fight       ,Verb           ,                   ,                           ,
trovare             ,to find        ,Verb           ,                   ,                           ,
finire              ,to finish      ,Verb           ,                   ,                           ,
aggiustare          ,to fix         ,Verb           ,                   ,                           ,
volare              ,to fly         ,Verb           ,                   ,                           ,
da seguire          ,to follow      ,Verb           ,                   ,                           ,
dare                ,to give        ,Verb           ,                   ,                           ,
andare              ,to go          ,Verb           ,                   ,                           ,
crescere            ,to grow        ,Verb           ,                   ,                           ,
appendere           ,to hang        ,Verb           ,                   ,                           ,
avere               ,to have        ,Verb           ,                   ,                           ,
aiutare             ,to help        ,Verb           ,                   ,                           ,
tenere              ,to hold        ,Verb           ,                   ,                           ,
saltare             ,to jump        ,Verb           ,                   ,                           ,
tenere              ,to keep        ,Verb           ,                   ,                           ,
uccidere            ,to kill        ,Verb           ,                   ,                           ,
baciare             ,to kiss        ,Verb           ,                   ,                           ,
ridere              ,to laugh       ,Verb           ,                   ,                           ,
per imparare        ,to learn       ,Verb           ,                   ,                           ,
sollevare           ,to lift        ,Verb           ,                   ,                           ,
ascoltare           ,to listen      ,Verb           ,to music           ,                           ,
perdere             ,to lose        ,Verb           ,                   ,                           ,
amare               ,to love        ,Verb           ,                   ,                           ,
sposare             ,to marry       ,Verb           ,                   ,                           ,
incontrare          ,to meet        ,Verb           ,                   ,                           ,
sciogliere          ,to melt        ,Verb           ,                   ,                           ,
menzionare          ,to mention     ,Verb           ,                   ,                           ,
mescolare/mescolare ,to mix/stir    ,Verb           ,                   ,                           ,
aprire              ,to open        ,Verb           ,                   ,                           ,
passare             ,to pass        ,Verb           ,                   ,                           ,
pagare              ,to pay         ,Verb           ,                   ,                           ,
giocare             ,to play        ,Verb           ,                   ,                           ,
pregare             ,to pray        ,Verb           ,                   ,                           ,
tirare              ,to pull        ,Verb           ,                   ,                           ,
spingere            ,to push        ,Verb           ,                   ,                           ,
mettere             ,to put         ,Verb           ,                   ,                           ,
da rispettare       ,to respect     ,Verb           ,                   ,                           ,
correre             ,to run         ,Verb           ,                   ,                           ,
vedere              ,to see         ,Verb           ,a bird             ,                           ,
vendere             ,to sell        ,Verb           ,                   ,                           ,
a scuotere          ,to shake       ,Verb           ,                   ,                           ,
il per sparare      ,to shoot       ,Noun           ,a gun              ,                           ,
firmare             ,to sign        ,Verb           ,                   ,                           ,
cantare             ,to sing        ,Verb           ,                   ,                           ,
sedere              ,to sit         ,Verb           ,                   ,                           ,
dormire             ,to sleep       ,Verb           ,                   ,                           ,
annusare            ,to smell       ,Verb           ,                   ,                           ,
sorridere           ,to smile       ,Verb           ,                   ,                           ,
parlare/dire        ,to speak/say   ,Verb           ,                   ,                           ,
spendere            ,to spend       ,Verb           ,                   ,                           ,
Stare in piedi      ,to stand       ,Verb           ,                   ,                           ,
stare               ,to stay        ,Verb           ,                   ,                           ,
fermare             ,to stop        ,Verb           ,                   ,                           ,
sorprendere         ,to surprise    ,Verb           ,                   ,                           ,
nuotare             ,to swim        ,Verb           ,                   ,                           ,
prendere            ,to take        ,Verb           ,                   ,                           ,
assaggiare          ,to taste       ,Verb           ,                   ,                           ,
insegnare           ,to teach       ,Verb           ,                   ,                           ,
pensare             ,to think       ,Verb           ,                   ,                           ,
gettare             ,to throw       ,Verb           ,                   ,                           ,
toccare             ,to touch       ,Verb           ,                   ,                           ,
girare              ,to turn        ,Verb           ,                   ,                           ,
alzare              ,to up          ,Verb           ,                   ,                           ,
camminare           ,to walk        ,Verb           ,                   ,                           ,
lavare              ,to wash        ,Verb           ,                   ,                           ,
guardare            ,to watch       ,Verb           ,(TV)               ,                           ,
indossare           ,to wear        ,Verb           ,                   ,                           ,
indossare           ,to wear        ,Verb           ,                   ,                           ,
vincere             ,to win         ,Verb           ,                   ,                           ,
lavorare            ,to work        ,Verb           ,                   ,                           ,
scrivere            ,to write       ,Verb           ,                   ,                           ,
la punta            ,toe            ,Noun           ,                   ,                           ,
la lingua           ,tongue         ,Noun           ,                   ,                           ,
lo strumento        ,tool           ,Noun           ,                   ,                           ,
il dente            ,tooth          ,Noun           ,                   ,                           ,
la cima             ,top            ,Noun           ,                   ,                           ,
la città            ,town           ,Noun           ,                   ,                           ,
il treno            ,train          ,Noun           ,                   ,                           ,
il trasporto        ,transportation ,Noun           ,                   ,                           ,
l'albero            ,tree           ,Noun           ,                   ,                           ,
il camion           ,truck          ,Noun           ,                   ,                           ,
i dodici            ,twelve         ,Noun           ,                   ,                           ,
i venti             ,twenty         ,Noun           ,                   ,                           ,
il ventunesimo      ,twenty one     ,Noun           ,                   ,                           ,
il due              ,two            ,Noun           ,                   ,                           ,
i duecento          ,two hundred    ,Noun           ,                   ,                           ,
il brutto           ,ugly           ,Noun           ,                   ,                           ,
lo zio              ,uncle          ,Noun           ,                   ,                           ,
l'Università        ,university     ,Noun           ,                   ,                           ,
il su               ,up             ,Noun           ,                   ,                           ,
la Valle            ,valley         ,Noun           ,                   ,                           ,
il verbo            ,verb           ,Noun           ,                   ,                           ,
la vittima          ,victim         ,Noun           ,                   ,                           ,
la voce             ,voice          ,Noun           ,                   ,                           ,
la vocale           ,vowel          ,Noun           ,                   ,                           ,
il cameriere        ,waiter         ,Noun           ,                   ,                           ,
il risveglio        ,wake           ,Noun           ,                   ,                           ,
il muro             ,wall           ,Noun           ,                   ,                           ,
la guerra           ,war            ,Noun           ,                   ,                           ,
caldo               ,warm           ,Adjective      ,                   ,                           ,
l'acqua             ,water          ,Noun           ,                   ,                           ,
l'onda              ,wave           ,Noun           ,ocean              ,                           ,
noi                 ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
il debole           ,weak           ,Noun           ,                   ,                           ,
il matrimonio       ,wedding        ,Noun           ,                   ,                           ,
la settimana        ,week           ,Noun           ,                   ,                           ,
la settimana        ,week           ,Noun           ,                   ,                           ,
il fine settimana   ,weekend        ,Noun           ,                   ,                           ,
pesare              ,weigh          ,Verb           ,                   ,                           ,
il peso             ,weight         ,Noun           ,                   ,                           ,
il peso             ,weight         ,Noun           ,                   ,                           ,
il pozzo            ,well           ,Noun           ,                   ,                           ,
l'ovest             ,west           ,Noun           ,                   ,                           ,
l'ovest             ,west           ,Noun           ,                   ,                           ,
l'occidentale       ,western        ,Noun           ,                   ,                           ,
il bagnato          ,wet            ,Noun           ,adj.               ,                           ,
il cosa             ,what           ,Noun           ,                   ,                           ,
il quando           ,when           ,Noun           ,                   ,                           ,
il dove             ,where          ,Noun           ,                   ,                           ,
se                  ,whether        ,Adverb         ,                   ,                           ,
il quale            ,which          ,Noun           ,                   ,                           ,
il tempo            ,while          ,Noun           ,                   ,                           ,
il bianco           ,white          ,Noun           ,                   ,                           ,
il bianco           ,white          ,Noun           ,                   ,                           ,
l'OMS               ,who            ,Noun           ,                   ,                           ,
il tutto            ,whole          ,Noun           ,                   ,                           ,
il perché           ,why            ,Noun           ,                   ,                           ,
il largo            ,wide           ,Noun           ,                   ,                           ,
il largo            ,wide           ,Noun           ,                   ,                           ,
la moglie           ,wife           ,Noun           ,                   ,                           ,
la moglie           ,wife           ,Noun           ,                   ,                           ,
il selvaggio        ,wild           ,Noun           ,                   ,                           ,
la volontà          ,will           ,Noun           ,                   ,                           ,
la vittoria         ,win            ,Noun           ,                   ,                           ,
il vento            ,wind           ,Noun           ,                   ,                           ,
il vento            ,wind           ,Noun           ,                   ,                           ,
la finestra         ,window         ,Noun           ,                   ,                           ,
la finestra         ,window         ,Noun           ,                   ,                           ,
il vino             ,wine           ,Noun           ,                   ,                           ,
il vino             ,wine           ,Noun           ,                   ,                           ,
l'ala               ,wing           ,Noun           ,                   ,                           ,
l'ala               ,wing           ,Noun           ,                   ,                           ,
il vincitore        ,winner         ,Noun           ,                   ,                           ,
inverno             ,winter         ,Noun           ,                   ,                           ,
inverno             ,winter         ,Noun           ,                   ,                           ,
il cavo             ,wire           ,Noun           ,                   ,                           ,
la donna            ,woman          ,Noun           ,                   ,                           ,
il legno            ,wood           ,Noun           ,                   ,                           ,
il mondo            ,world          ,Noun           ,                   ,                           ,
il cortile          ,yard           ,Noun           ,                   ,                           ,
l'anno              ,year           ,Noun           ,                   ,                           ,
il giallo           ,yellow         ,Noun           ,                   ,                           ,
il si               ,yes            ,Noun           ,                   ,                           ,
voi                 ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
il giovane          ,young          ,Noun           ,                   ,                           ,
lo zero             ,zero           ,Noun           ,                   ,                           ,
